title,year,summary,short_summary,genres,imdb_id,runtime,youtube_trailer,rating,movie_poster,director,writers,cast
The Pirates of Somalia,2017,"In 2008, rookie journalist Jay Bahadur forms a half-baked plan to embed himself among the pirates of Somalia. He ultimately succeeds in providing the first close-up look into who these men are, how they live, and the forces that drive them.","In 2008, rookie journalist Jay Bahadur forms a half-baked plan to embed himself among the pirates of Somalia. He ultimately succeeds in providing the first close-up look into who these men ...",Biography|Drama,tt5126922,116,trFQOslCa6U,68,https://hydramovies.com/wp-content/uploads/2018/04/The-Pirates-of-Somalia-Movie-Poster.jpg,Bryan Buckley,Bryan Buckley,Al Pacino|Evan Peters|Melanie Griffith
In Search of Balance,2016,"At a genetic level, humans are literally connected to the rest of the natural world through our DNA. But today's highly processed foods, pesticide based monoculture farming methods, increasing urbanization, obsession with technology and destruction of the natural environment distance us further and further from the world we coevolved with. We are out of balance with nature and the reductionist philosophy of modern western medicine, once immensely powerful, seems inadequate to answer today's challenges.","An exploration of a new paradigm of health, science, and medicine, based on the interconnections between us and nature.",Documentary,tt5022626,74,x4pLLL8XF5Q,66,https://hydramovies.com/wp-content/uploads/2018/04/In-Search-of-Balance-Movie-Poster.jpg,Adam Pfleghaar,Blue Kraning,Eshel Ben-Jacob|Miguel Altieri
Minimalism: A Documentary About the Important Things,2015,"How might your life be better with less? Minimalism: A Documentary About the Important Things examines the many flavors of minimalism by taking the audience inside the lives of minimalists from all walks of life -- families, entrepreneurs, architects, artists, journalists, scientists, and even a former Wall Street broker -- all of whom are striving to live a meaningful life with less.",How might your life be better with less?,Documentary,tt3810760,79,0Co1Iptd4p4,67,https://hydramovies.com/wp-content/uploads/2018/04/Minimalism-A-Documentary-About-the-Important-Things-Movie-Poster.jpg,Matt D'Avella,Dan Harris,Shannon Whitehead
Tom of Finland,2017,"Touko Laaksonen, a decorated officer, returns home after a harrowing and heroic experience serving his country in World War II, but life in Finland during peacetime proves equally distressing. He finds peace-time Helsinki rampant with persecution of the homosexual men around him, even being pressured to marry women and have children. Touko finds refuge in his liberating art, specializing in homoerotic drawings of muscular men, free of inhibitions. His work - made famous by his signature 'Tom of Finland' - became the emblem of a generation of men and fanned the flames of a gay revolution.","Award-winning filmmaker Dome Karukoski brings to screen the life and work of artist Touko Valio Laaksonen (aka Tom of Finland), one of the most influential and celebrated figures of twentieth century gay culture.",Biography|Drama,tt5226984,115,V0E9zPRt96w,69,https://hydramovies.com/wp-content/uploads/2018/04/Tom-of-Finland-Movie-Poster.jpg,Dome Karukoski,Aleksi Bardy,Pekka Strang|Seumas F. Sargent
Thelma,2017,"Having just enrolled at a university in Oslo against her stern parents' will, the sheltered Biology freshman and devout Christian, Thelma, leaves for the first time the isolated Norwegian countryside, to start a new life away from home. Tangibly lonely, a casual conversation and an unexpected friendship in the face of the beautiful fellow student, Anja, will broaden Thelma's hazy horizons; however, as the glacially alluring misfit wrestles with an onslaught of novel feelings, an unprecedented psychosomatic manifestation of repressed emotions takes over. A mystery cloaks soft-spoken Thelma's past, and the more she struggles to renounce her nebulous desire, the more violent is her quivering awakening. But can Thelma find a denied truth behind a stinging temptation?",A confused religious girl tries to deny her feelings for a female friend who's in love with her. This causes her suppressed subconsciously-controlled psychokinetic powers to reemerge with devastating results.,Drama|Fantasy|Mystery|Romance|Thriller,tt6304046,116,vgQMHG9SGlU,71,https://hydramovies.com/wp-content/uploads/2018/04/Thelma-Movie-Poster.jpg,Joachim Trier,Eskil Vogt,Eili Harboe|Henrik Rafaelsen|Kaya Wilkins
My Friend Dahmer,2017,A young Jeffrey Dahmer struggles to belong in high school.,A young Jeffrey Dahmer struggles to belong in high school.,Biography|Drama|Horror,tt2291540,107,jmnuC7tn9D4,64,https://hydramovies.com/wp-content/uploads/2018/04/My-Friend-Dahmer-Movie-Poster.jpg,Marc Meyers,Marc Meyers,Alex Wolff|Anne Heche|Ross Lynch
When We First Met,2018,"Noah spends the perfect first night with Avery, the girl of his dreams, but gets relegated to the friend zone. He spends the next three years wondering what went wrong - until he gets the unexpected chance to travel back in time and change that night - and his fate - over and over again.","Noah thinks he has the perfect first night with Avery, the girl of his dreams, but gets relegated to the friend zone. He spends the next three years wondering what went wrong - until he ...",Comedy|Fantasy|Romance,tt5783956,97,d2sJNee7FQ4,64,https://hydramovies.com/wp-content/uploads/2018/04/When-We-First-Met-Movie-Poster.jpg,Ari Sandel,John Whittington,Adam Devine|Alexandra Daddario|Shelley Hennig
Bomb City,2017,"Bomb City is a crime-drama, about the cultural aversion of a group of punk rockers in a conservative Texas town. Their ongoing battle with a rival, more-affluent clique leads to a controversial hate crime that questions the morality of American justice. Based on the true story of Brian Deneke.","A crime-drama, about the cultural aversion of a group of punk rockers in a conservative Texas town. Their ongoing battle with a rival, more-affluent clique leads to a controversial hate crime that questions the morality of American justice.",Action|Crime|Drama|Thriller|Western,tt4351548,95,ir4IraOtads,71,https://hydramovies.com/wp-content/uploads/2018/04/Bomb-City-Movie-Poster.jpg,Jameson Brooks,Jameson Brooks,Dave Davis|Glenn Morshower|Logan Huffman
The Ritual,2017,"A group of college friends reunite for a trip to the forest, but encounter a menacing presence in the woods that's stalking them.","A group of college friends reunite for a trip to the forest, but encounter a menacing presence in the woods that's stalking them.",Horror,tt5638642,94,Vfugwq2uoa0,63,https://hydramovies.com/wp-content/uploads/2018/04/The-Ritual-Movie-Poster.jpg,David Bruckner,Joe Barton,Arsher Ali|Rafe Spall|Robert James-Collier
Accident Man,2018,"Mike Fallon, the Accident Man, is a stone cold killer whose methodical hits baffle the police and delight his clients. He is the best at what he does. But when a loved one is dragged into the London underworld and murdered by his own crew, Fallon is forced to rip apart the life he knew in order to hold those accountable and avenge the one person who actually meant something to him.","Mike Fallon, the Accident Man, is a stone cold killer whose methodical hits baffle the police and delight his clients. He is the best at what he does. But when a loved one is dragged into ...",Action|Crime|Thriller,tt6237612,105,hk6Fhe8HyKs,61,https://hydramovies.com/wp-content/uploads/2018/04/Accident-Man-Movie-Poster.jpg,Jesse V. Johnson,Scott Adkins,Ray Stevenson|Scott Adkins
Coco,2017,"Despite his family's baffling generations-old ban on music, Miguel dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz. Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events. Along the way, he meets charming trickster Hector, and together, they set off on an extraordinary journey to unlock the real story behind Miguel's family history.","Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",Adventure|Animation|Comedy|Family|Fantasy,tt2380307,0,6Zxj9q8Yjdw,85,https://hydramovies.com/wp-content/uploads/2018/04/Coco-Movie-Poster.jpg,Lee Unkrich,Lee Unkrich,Anthony Gonzalez|Gael García Bernal
Murder on the Orient Express,2017,"Hercule Poirot, the best detective in the world decides to leave on the Orient Express. The train accidentally gets stopped because of a small avalanche. Little did he know that a murder was planned and that a person on this train was able of committing such crime. Will he solve this murder before the train starts working again?","When a murder occurs on the train he's travelling on, celebrated detective Hercule Poirot is recruited to solve the case.",Crime|Drama|Mystery,tt3402236,114,Mq4m3yAoW8E,66,https://hydramovies.com/wp-content/uploads/2018/04/Murder-on-the-Orient-Express-Movie-Poster.jpg,Kenneth Branagh,Michael Green,Kenneth Branagh|Penélope Cruz|Willem Dafoe
Doctor Who: Shada,2017,"The story revolves around the planet Shada, on which the Time Lords have constructed a high security prison for some of the Universe's most dangerous criminals. Skagra, a flawed genius from the planet Dronoid, wishes to create a ""Universal Mind"" in which all the pooled knowledge of the universe's greatest criminals would be placed at his disposal and with which he intends to take control of the Universe. Skagra wants to go to Shada to extract the knowledge of the criminals who have been imprisoned there. Unfortunately for Skagra, knowledge of the location of Shada has been deliberately hidden by the Time Lords, but Skagra discovers that there is a Time Lord living on Earth in the twentieth century who may hold the key to its location. This Time Lord is masquerading as a professor at St. Cedd's College, Cambridge and calling himself Professor Chronotis. Sensing danger, Chronotis calls for the assistance of his old friend and protégé, the Doctor. The story climaxes in a battle for ...","The story revolves around the planet Shada, on which the Time Lords have constructed a high security prison for some of the Universe's most dangerous criminals. Skagra, a flawed genius from...",Sci-Fi,tt7689226,138,jBpmCZV6GAc,60,https://hydramovies.com/wp-content/uploads/2018/04/Doctor-Who-Shada-Movie-Poster.jpg,Charles Norton,Douglas Adams,Christopher Neame|Lalla Ward|Tom Baker
The Everlasting Flame,2009,Official Film of the Beijing Olympics.,Official Film of the Beijing Olympics.,Documentary|Sport,tt1491616,101,0BE0fL_tqnc,62,https://hydramovies.com/wp-content/uploads/2018/04/The-Everlasting-Flame-Movie-Poster.jpg,Jun Gu,Qi Wu,Mark Griffiths
Daddy's Home 2,2017,"Having finally gotten used to each other's existence, Brad and Dusty must now deal with their intrusive fathers during the holidays.","Having finally gotten used to each other's existence, Brad and Dusty must now deal with their intrusive fathers during the holidays.",Comedy,tt5657846,100,yyW_EX7iRW0,60,https://hydramovies.com/wp-content/uploads/2018/04/Daddys-Home-2-Movie-Poster.jpg,Sean Anders,Sean Anders,Mark Wahlberg|Will Ferrell
The Florida Project,2017,"Halley lives with her six year old daughter Moonee in a budget motel along one of the commercial strips catering to the Walt Disney World tourist clientele outside Orlando, Florida. Halley, who survives largely on welfare, has little respect for people, especially those who cross her, it an attitude that she has passed down to Moonee, who curses and gives the finger like her mother. Although the motel's policy is not to allow long term rentals, Bobby, the motel manager, has made arrangements for people like Halley to live there while not undermining the policy as he realizes that many such tenants have no place to go otherwise. Halley, Moonee and Moonee's friends, who live in the motel or others like it along the strip and who she often drags into her disruptive pranks, are often the bane of Bobby's existence, but while dealing with whatever problem arises, Bobby has a soft spot especially for the children and thus, by association, their parents, as he knows that Moonee and others ...","Set over one summer, the film follows precocious six-year-old Moonee as she courts mischief and adventure with her ragtag playmates and bonds with her rebellious but caring mother, all while living in the shadows of Walt Disney World.",Drama,tt5649144,111,WwQ-NH1rRT4,76,https://hydramovies.com/wp-content/uploads/2018/04/The-Florida-Project-Movie-Poster.jpg,Sean Baker,Sean Baker,Bria Vinaite|Brooklynn Prince|Willem Dafoe
Only the Brave,2017,"In 2007 Prescott, Arizona, Eric Marsh of the Prescott Fire Department is frustrated fighting forest fires when the Type 1 or ""Hotshot"" front line forest fire fighting crews from afar overrule his operational suggestions to his area's sorrow. To change that, Marsh gets approval from the Mayor to attempt to organize an unprecedented certified municipal-based Hotshot crew for Prescott. To that end, Marsh needs new recruits, which includes the young wastrel, Brendan McDonough, to undergo the rigorous training and qualification testing for the most dangerous of fire fighting duty. Along the way, the new team meets the challenge and the hailed Granite Mountain Hotshots are born. In doing so, all the men, especially McDonough, are changed as new experience and maturity is achieved in fire-forged camaraderie. All this is put to the test in 2013 with the notorious Yarnell Hill Fire that will demand efforts and sacrifices no one can ignore.","Based on the true story of the Granite Mountain Hotshots, a group of elite firefighters who risk everything to protect a town from a historic wildfire.",Biography|Drama,tt3829920,134,EE_GY6zccqc,77,https://hydramovies.com/wp-content/uploads/2018/04/Only-the-Brave-Movie-Poster.jpg,Joseph Kosinski,Sean Flynn,Josh Brolin|Miles Teller
God's Own Country,2017,"Spring. Yorkshire. Isolated young sheep farmer Johnny Saxby numbs his daily frustrations with binge drinking and casual sex, until the arrival of a Romanian migrant worker Gheorghe, employed for the lambing season, ignites an intense relationship that sets Johnny on a new path.","Spring. Yorkshire. Young farmer Johnny Saxby numbs his daily frustrations with binge drinking and casual sex, until the arrival of a Romanian migrant worker for lambing season ignites an intense relationship that sets Johnny on a new path.",Drama|Romance,tt5635086,104,ki3B3C2tGBQ,77,https://hydramovies.com/wp-content/uploads/2018/04/Gods-Own-Country-Movie-Poster.jpg,Francis Lee,Francis Lee,Alec Secareanu|Gemma Jones|Josh O'Connor
Wonder,2017,"Based on the New York Times bestseller, WONDER tells the incredibly inspiring and heartwarming story of August Pullman. Born with facial differences that, up until now, have prevented him from going to a mainstream school, Auggie becomes the most unlikely of heroes when he enters the local fifth grade. As his family, his new classmates, and the larger community all struggle to discover their compassion and acceptance, Auggie's extraordinary journey will unite them all and prove you can't blend in when you were born to stand out.","Based on the New York Times bestseller, WONDER tells the incredibly inspiring and heartwarming story of August Pullman, a boy with facial differences who enters 5th grade, attending a mainstream elementary school for the first time.",Drama|Family,tt2543472,113,YRXmuv7JP-A,80,https://hydramovies.com/wp-content/uploads/2018/04/Wonder-Movie-Poster.jpg,Stephen Chbosky,Stephen Chbosky,Jacob Tremblay|Owen Wilson
Crooked House,2017,"In this classic Agatha Christie detective story, former diplomat Charles Hayward has returned from Cairo to London to become a private detective. When Aristide Leonides, a wealthy and ruthless tycoon, is poisoned in his own bed, Detective Hayward is invited to solve the crime. As the investigation deepens he must confront the shocking realization that one of the key suspects is Aristede's beautiful granddaughter, his employer and former lover; and must keep a clear head to navigate the sultry Sophia and the rest of her hostile family.","In Agatha Christie's most twisted tale, a spy-turned-private-detective is lured by his former lover to catch her grandfather's murderer before Scotland Yard exposes dark family secrets.",Crime|Drama|Mystery,tt1869347,115,JwTYh5BHH5A,63,https://hydramovies.com/wp-content/uploads/2018/04/Crooked-House-Movie-Poster.jpg,Gilles Paquet-Brenner,Julian Fellowes,Max Irons|Stefanie Martini
"Roman J. Israel, Esq.",2017,"ROMAN J. ISRAEL, ESQ. is a dramatic thriller set in the underbelly of the overburdened Los Angeles criminal court system. Denzel Washington stars as Roman Israel, a driven, idealistic defense attorney who, through a tumultuous series of events, finds himself in a crisis that leads to extreme action. Colin Farrell costars as the monied, cutthroat lawyer who recruits Roman to his firm.","Roman J. Israel, Esq., a driven, idealistic defense attorney, finds himself in a tumultuous series of events that lead to a crisis and the necessity for extreme action.",Crime|Drama,tt6000478,122,tGVIKqbEtdU,64,https://hydramovies.com/wp-content/uploads/2018/04/Roman-J.-Israel-Esq.-Movie-Poster.jpg,Dan Gilroy,Dan Gilroy,Carmen Ejogo|Colin Farrell|Denzel Washington
Wheelman,2017,"After three years in prison, the driver known as Wheelman has to work for mobsters to pay for a debt. When he is assigned to drive a getaway car for a bank heist, he is not able to contact his liaison and a stranger call him giving orders to deliver the stolen money to him. Soon he learns that he has been betrayed by his contact and spends the night trying to save his thirteen year-old Katie and his ex-wife Jessica from a gang that wants the money robbed from the bank. But who can be trusted?",A getaway driver for a bank robbery realizes he has been double crossed and races to find out who betrayed him.,Action|Crime|Mystery|Thriller,tt5723286,82,38rOdku5Voc,64,https://hydramovies.com/wp-content/uploads/2018/04/Wheelman-Movie-Poster.jpg,Jeremy Rush,Jeremy Rush,Caitlin Carmichael|Frank Grillo|Garret Dillahunt
Voyeur,2017,"Journalism icon Gay Talese reports on Gerald Foos, the owner of a Colorado motel, who allegedly secretly watched his guests with the aid of specially designed ceiling vents, peering down from an ""observation platform"" he built in the motel's attic.","Journalism icon Gay Talese reports on Gerald Foos, the owner of a Colorado motel, who allegedly secretly watched his guests with the aid of specially designed ceiling vents, peering down from an &quot;observation platform&quot; he built in the motel's attic.",Documentary,tt7588790,96,kTAYqsT05Dc,62,https://hydramovies.com/wp-content/uploads/2018/04/Voyeur-Movie-Poster.jpg,Myles Kane,Edward Akrout,Edward Sabol
The Great Invisible,2014,"On April 20, 2010, the Deepwater Horizon oil rig exploded in the Gulf of Mexico. It killed 11 workers and caused the worst oil spill in American history. The explosion still haunts the lives of those most intimately affected, though the story has long ago faded from the front page. At once a fascinating corporate thriller, a heartbreaking human drama and a peek inside the walls of the secretive oil industry, ""The Great Invisible"" is the first documentary feature to go beyond the media coverage to examine the crisis in depth through the eyes of oil executives, survivors and Gulf Coast residents who experienced it first-hand and then were left to pick up the pieces while the world moved on.","A documentary on the Deepwater Horizon oil rig explosion as seen through the eyes of oil executives, survivors and Gulf Coast residents who experienced it first-hand and then were left to pick up the pieces while the world moved on.",Documentary,tt3567200,92,sv9Xm1WsIXA,66,https://hydramovies.com/wp-content/uploads/2018/04/The-Great-Invisible-Movie-Poster.jpg,Margaret Brown,Meccah Boynton-Brown,Bob Cavnar
Naledi: A Baby Elephant's Tale,2016,"The incredible, true-life story of a baby elephant born into a rescue camp in the wilderness of Botswana. When she's suddenly orphaned at one month of age, it's up to the men who look after her herd to save her life.","The incredible, true-life story of a baby elephant born into a rescue camp in the wilderness of Botswana. When she's suddenly orphaned at one month of age, it's up to the men who look after her herd to save her life.",Documentary,tt5709762,90,-mr7xVEJXJE,75,https://hydramovies.com/wp-content/uploads/2018/04/Naledi-A-Baby-Elephants-Tale-Movie-Poster.jpg,Ben Bowie,,
The Meyerowitz Stories,2017,An estranged family gathers together in New York for an event celebrating the artistic work of their father.,An estranged family gathers together in New York City for an event celebrating the artistic work of their father.,Comedy|Drama,tt5536736,112,8zShjmv0Vg4,70,https://hydramovies.com/wp-content/uploads/2018/04/The-Meyerowitz-Stories-Movie-Poster.jpg,Noah Baumbach,Noah Baumbach,Adam Sandler|Dustin Hoffman|Grace Van Patten
Our Souls at Night,2017,"In Holt, a small Colorado town, Addie Moore (Jane Fonda) pays an unexpected visit to a neighbor, Louis Waters (Robert Redford). Her husband died years ago, as did his wife, and in such a small town they'd been neighbors for decades, but had little contact. Their children (Matthias Schoenaerts and Judy Greer) live far away and they are all alone in their big houses. Addie seeks to establish a connection, and make the most of the rest of the time they have.","Fonda and Redford will star as Addie Moore and Louis Waters, a widow and widower who've lived next to each other for years. The pair have almost no relationship, but that all changes when Addie tries to make a connection with her neighbor.",Drama|Romance,tt5034266,103,lci71HjGvaM,69,https://hydramovies.com/wp-content/uploads/2018/04/Our-Souls-at-Night-Movie-Poster.jpg,Ritesh Batra,Scott Neustadter,Jane Fonda|Judy Greer
Cuba and the Cameraman,2017,"Life in Cuba for three struggling families over the course of 45 years, from the cautious optimism of the early 1970s to the harrowing 1990s after the fall of the Soviet Union and the 2016 death of Fidel Castro.","Life in Cuba for three struggling families over the course of 45 years, from the cautious optimism of the early 1970s to the harrowing 1990s after the fall of the Soviet Union and the 2016 death of Fidel Castro.",Documentary,tt7320560,113,lsZ8hDutkeM,82,https://hydramovies.com/wp-content/uploads/2018/04/Cuba-and-the-Cameraman-Movie-Poster.jpg,Jon Alpert,Jon Alpert,
Catching the Sun,2015,"Through the stories of workers and entrepreneurs in the U.S. and China, Catching the Sun captures the global race to lead the clean energy future. Over the course of a solar jobs training program, Catching the Sun follows the hope and heartbreak of unemployed American workers seeking jobs in the solar industry. With countries like China investing in innovative technologies and capitalizing on this trillion-dollar opportunity, Catching the Sun tells the story of the global energy transition from the perspective of workers and entrepreneurs building solutions to income inequality and climate change with their own hands. Their successes and failures speak to one of the biggest questions of our time: will the U.S. actually be able to build a clean energy economy?","An unemployed American worker, a Tea Party activist, and a Chinese solar entrepreneur race to lead the clean energy future. But who wins and who loses the battle for power in the 21st century?",Documentary|Drama|History|News,tt1698654,75,NjTi1j4enl4,70,https://hydramovies.com/wp-content/uploads/2018/04/Catching-the-Sun-Movie-Poster.jpg,Shalini Kantayya,Shalini Kantayya,
A Plastic Ocean,2016,"A PLASTIC OCEAN begins when journalist Craig Leeson, searching for the elusive blue whale, discovers plastic waste in what should be pristine ocean. In this adventure documentary, Craig teams up with free diver Tanya Streeter and an international team of scientists and researchers, and they travel to twenty locations around the world over the next four years to explore the fragile state of our oceans, uncover alarming truths about plastic pollution, and reveal working solutions that can be put into immediate effect.","A PLASTIC OCEAN begins when journalist Craig Leeson, searching for the elusive blue whale, discovers plastic waste in what should be pristine ocean. In this adventure documentary, Craig ...",Documentary,tt5203824,102,6zrn4-FfbXw,79,https://hydramovies.com/wp-content/uploads/2018/04/A-Plastic-Ocean-Movie-Poster.jpg,Craig Leeson,Craig Leeson,Ben Fogle|David Attenborough|Sylvia Earle
1922,2017,"Featuring shades of Edgar Allen Poe's [""A Tell-tale Heart"" and] ""The Black Cat"", 1922, with a Bonny and Clyde sub-plot, based on the Stephen King novella of the same name, centers on simple but proud farmer, Wilfred James, who, with his young son, murders his wife to gain ownership of her inherited land. Shortly after, however, strange and supernatural occurrences begin to plague both James and his farm. Is it just simple bad luck, or is it the work of something much more sinister?","A simple yet proud farmer in the year 1922 conspires to murder his wife for financial gain, convincing his teenage son to assist. But their actions have unintended consequences.",Crime|Drama|Mystery|Thriller,tt6214928,102,3E_fT0aTsjI,63,https://hydramovies.com/wp-content/uploads/2018/04/1922-Movie-Poster.jpg,Zak Hilditch,Stephen King,Dylan Schmid|Molly Parker|Thomas Jane
Bright,2017,"In Los Angeles, humans live with orcs and elves in a world where fantasy creatures do exist. LAPD police officer Dayl Ward is the first human cop having the orc police officer Nick Jakoby as a partner. When Ward is shot by an orc and Jakoby does not capture the shooter, he questions whether Jakoby lets the fellow orc escape. During a patrol, Ward and Jakoby arrest a man that tells that there is a prophecy and Ward is blessed. Meanwhile, Internal Affairs press Ward to find the truth about the escape of the shooter so that they can fire Jakoby. The magic department of the FBI interrogates the man that belongs to the terrorist Shield of Light group which protects brights so that they can prepare for the return of the Dark Lord that will destroy the world. Ward and Jakoby are summoned to attend a disturbance and they stumble upon a Shield of Light safe-house where they arrest the elf Tikka and bag her magic wand. Soon they learn that Tikka is hunted down by the evil and powerful rogue elf...",Set in a world where fantasy creatures live side by side with humans. A human cop is forced to work with an Orc to find a weapon everyone is prepared to kill for.,Action|Crime|Fantasy|Thriller,tt5519340,117,6EZCBSsBxko,64,https://hydramovies.com/wp-content/uploads/2018/04/Bright-Movie-Poster.jpg,David Ayer,Max Landis,Joel Edgerton|Noomi Rapace|Will Smith
Thor: Ragnarok,2017,"Thor is imprisoned on the other side of the universe and finds himself in a race against time to get back to Asgard to stop Ragnarok, the destruction of his homeworld and the end of Asgardian civilization, at the hands of an all-powerful new threat, the ruthless Hela.","Thor is imprisoned on the planet Sakaar, and must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.",Action|Adventure|Comedy|Fantasy|Sci-Fi,tt3501632,130,ue80QwXMRHg,79,https://hydramovies.com/wp-content/uploads/2018/04/Thor-Ragnarok-Movie-Poster.jpg,Taika Waititi,Eric Pearson,Chris Hemsworth|Tom Hiddleston
Phineas and Ferb the Movie: Across the 2nd Dimension,2011,"Perry's worst fear comes true when Phineas and Ferb find out that he is in fact Secret Agent P, but that soon pales in comparison during a trip to the 2nd dimension where Perry finds out that Dr. Doofenshmirtz is truly evil and successful.","Phineas and Ferb discover that Perry is a secret agent, and they all get stuck in an alternate dimension where Doofenschmirtz is the ruler of the tri-state area.",Action|Adventure|Animation|Comedy|Family,tt1825918,0,LzSp8gxkw9k,75,https://hydramovies.com/wp-content/uploads/2018/04/Phineas-and-Ferb-the-Movie-Across-the-2nd-Dimension-Movie-Poster.jpg,Robert Hughes,Jon Colton Barry,Ashley Tisdale|Vincent Martella
Sweet Virginia,2017,"A former rodeo star, with a small time life, unknowingly starts a rapport with a young man who is responsible for the violence that has suddenly gripped his small town. Every character from his loved ones to his business patrons, plays a part in the unravelling of this community. Our aged hero must face his relationships of past and present to come up against this unpredictable predator.",A former rodeo champ befriends a young man with a propensity for violence.,Drama|Thriller,tt2582498,93,SqZu5uxqLUE,61,https://hydramovies.com/wp-content/uploads/2018/04/Sweet-Virginia-Movie-Poster.jpg,Jamie M. Dagg,Paul China,Christopher Abbott|Imogen Poots|Jon Bernthal
LBJ,2016,"LBJ centers on the political upheaval that Vice President Johnson faced when he was thrust into the presidency at the hands of an assassin's bullet in November 1963. With political battles on both sides of the aisle, Johnson struggles to heal a nation and secure his presidency by passing Kennedy's historic Civil Rights Act.","Lyndon Baines Johnson aligns himself with Jack Kennedy, rises to the presidency, and deals with the civil rights struggles of the 1960s.",Biography|Drama,tt4778988,98,xrnEp8WLH0g,63,https://hydramovies.com/wp-content/uploads/2018/04/LBJ-Movie-Poster.jpg,Rob Reiner,Joey Hartstone,Michael Stahl-David|Richard Jenkins|Woody Harrelson
Almost Friends,2016,Charlie is an unmotivated man in his mid 20s still living at home with his mother and stepfather who falls for a young woman who has a serious boyfriend.,Charlie is an unmotivated man in his mid 20s still living at home with his mother and stepfather who falls for a young woman who has a serious boyfriend.,Comedy|Drama,tt4955566,101,6WOJp7yoTnk,61,https://hydramovies.com/wp-content/uploads/2018/04/Almost-Friends-Movie-Poster.jpg,Jake Goldberger,Jake Goldberger,Christopher Meloni|Freddie Highmore|Odeya Rush
Borg vs McEnroe,2017,The story of the 1980s tennis rivalry between the placid Björn Borg and the volatile John McEnroe.,The story of the 1980s tennis rivalry between the placid Björn Borg and the volatile John McEnroe.,Biography|Drama|Sport,tt5727282,107,IgfFdEOGUqE,70,https://hydramovies.com/wp-content/uploads/2018/04/Borg-vs-McEnroe-Movie-Poster.jpg,Janus Metz,Ronnie Sandahl,Shia LaBeouf|Stellan Skarsgård|Sverrir Gudnason
Boone: The Bounty Hunter,2017,"When fame-seeking reality show bounty hunter, Boone, attempts to bring down a drug lord and his empire, he uncovers more than he bargains for and learns that justice means more than ratings.","When fame-seeking reality show bounty hunter, Boone, attempts to bring down a drug lord and his empire, he uncovers more than he bargains for and learns that justice means more than ratings.",Action|Drama,tt3229488,86,sJr_71PDFC4,68,https://hydramovies.com/wp-content/uploads/2018/04/Boone-The-Bounty-Hunter-Movie-Poster.jpg,Robert Kirbyson,Josh Burnell,John Hennigan|Osric Chau
Last Flag Flying,2017,"In 2003, 30 years after they served together in the Vietnam War, former Navy Hospital Corpsman Larry ""Doc"" Shepherd re-unites with ex-Marines Sal and Mueller on a different type of mission: to bury Doc's son, a young Marine killed in the Iraq War. Doc decides to forgo burial at Arlington Cemetery and, with the help of his old buddies, takes the casket on a bittersweet trip up the East Coast to his home in suburban New Hampshire.","Thirty years after they served together in Vietnam, a former Navy Corpsman Larry &quot;Doc&quot; Shepherd re-unites with his old buddies, former Marines Sal Nealon and Reverend Richard Mueller, to bury his son, a young Marine killed in the Iraq War.",Comedy|Drama|War,tt6018306,125,VmS4lTZ34uk,69,https://hydramovies.com/wp-content/uploads/2018/04/Last-Flag-Flying-Movie-Poster.jpg,Richard Linklater,Richard Linklater,Bryan Cranston|Laurence Fishburne
The Killing of a Sacred Deer,2017,"After the untimely death of 16-year-old Martin's father on the operating table, little by little, a deep and empathetic bond begins to form between him and the respected cardiothoracic surgeon, Dr Steven Murphy. At first, expensive gifts and then an invitation for dinner will soon earn the orphaned teenager the approval of Dr Steven's perfect family, even though right from the start, a vague, yet unnerving feeling overshadows Martin's honest intent. And then, unexpectedly, the idyllic family is smitten by a fierce and pitiless punishment, while at the same time, everything will start falling apart as the innocents have to suffer. In the end, as the sins of one burden the entire family, only an unimaginable and unendurable decision that demands a pure sacrifice can purge the soul. But to find catharsis, one must first admit the sin.","Steven, a charismatic surgeon, is forced to make an unthinkable sacrifice after his life starts to fall apart, when the behavior of a teenage boy he has taken under his wing turns sinister.",Drama|Horror|Mystery|Thriller,tt5715874,121,NHF6UhYyZNc,71,https://hydramovies.com/wp-content/uploads/2018/04/The-Killing-of-a-Sacred-Deer-Movie-Poster.jpg,Yorgos Lanthimos,Yorgos Lanthimos,Barry G. Bernson|Bill Camp|Herb Caillouet
